id,lang,pecha name,url
I0781CCB8,en,Drukpa Kunley Series,https://github.com/OpenPecha-Data/I0781CCB8
I4364458B,bo,Drukpa Kunley Series,https://github.com/OpenPecha-Data/I4364458B
I9BB5A4CD,en,Dudjom Lingpa Series,https://github.com/OpenPecha-Data/I9BB5A4CD
I7A7D1B33,de,Dudjom Lingpa Series,https://github.com/OpenPecha-Data/I7A7D1B33
I6E0C94CD,es,Dudjom Lingpa Series,https://github.com/OpenPecha-Data/I6E0C94CD
I3F78202F,fr,Dudjom Lingpa Series,https://github.com/OpenPecha-Data/I3F78202F
IE0D760BB,nl,Dudjom Lingpa Series,https://github.com/OpenPecha-Data/IE0D760BB
I6DE8EFBD,bo,Dudjom Lingpa Series,https://github.com/OpenPecha-Data/I6DE8EFBD
I7753D8A3,en,Dudjom Rinpoche Series,https://github.com/OpenPecha-Data/I7753D8A3
ICF4C97B4,de,Dudjom Rinpoche Series,https://github.com/OpenPecha-Data/ICF4C97B4
IA78FFC6E,es,Dudjom Rinpoche Series,https://github.com/OpenPecha-Data/IA78FFC6E
IEE36EA6D,fr,Dudjom Rinpoche Series,https://github.com/OpenPecha-Data/IEE36EA6D
I8FCD6B3D,nl,Dudjom Rinpoche Series,https://github.com/OpenPecha-Data/I8FCD6B3D
I8EF37C92,pt,Dudjom Rinpoche Series,https://github.com/OpenPecha-Data/I8EF37C92
I348B4F33,zh,Dudjom Rinpoche Series,https://github.com/OpenPecha-Data/I348B4F33
I3AA33E32,bo,Dudjom Rinpoche Series,https://github.com/OpenPecha-Data/I3AA33E32
IFEB70133,en,Dzogchen Pema Rigdzin Series,https://github.com/OpenPecha-Data/IFEB70133
IF41A4501,zh,Dzogchen Pema Rigdzin Series,https://github.com/OpenPecha-Data/IF41A4501
I907515D0,bo,Dzogchen Pema Rigdzin Series,https://github.com/OpenPecha-Data/I907515D0
IE756469E,en,Dzong-ngön Pema Tukchok Dorje,https://github.com/OpenPecha-Data/IE756469E
I78BA47BF,bo,Dzong-ngön Pema Tukchok Dorje,https://github.com/OpenPecha-Data/I78BA47BF
IB51F5AF6,en,Dzongter Kunzang Nyima,https://github.com/OpenPecha-Data/IB51F5AF6
IE54F241E,bo,Dzongter Kunzang Nyima,https://github.com/OpenPecha-Data/IE54F241E
I50064386,en,Fifteenth Karmapa Series,https://github.com/OpenPecha-Data/I50064386
IC1DA4140,fr,Fifteenth Karmapa Series,https://github.com/OpenPecha-Data/IC1DA4140
IEEAE080E,pt,Fifteenth Karmapa Series,https://github.com/OpenPecha-Data/IEEAE080E
I7B52E442,bo,Fifteenth Karmapa Series,https://github.com/OpenPecha-Data/I7B52E442
I68F62FB1,en,Fifth Dalai Lama Series,https://github.com/OpenPecha-Data/I68F62FB1
I23EBC536,bo,Fifth Dalai Lama Series,https://github.com/OpenPecha-Data/I23EBC536
IADC12493,en,Fifth Dodrupchen Rinpoche Series,https://github.com/OpenPecha-Data/IADC12493
I070D09F9,bo,Fifth Dodrupchen Rinpoche Series,https://github.com/OpenPecha-Data/I070D09F9
I4589D10B,en,Fifth Dzogchen Rinpoche,https://github.com/OpenPecha-Data/I4589D10B
I79713A47,bo,Fifth Dzogchen Rinpoche,https://github.com/OpenPecha-Data/I79713A47
I124DF1D6,en,Fifth Shamarpa,https://github.com/OpenPecha-Data/I124DF1D6
I2535DFA7,bo,Fifth Shamarpa,https://github.com/OpenPecha-Data/I2535DFA7
I889C28B4,en,Fourteenth Dalai Lama Series,https://github.com/OpenPecha-Data/I889C28B4
I2141BAE0,de,Fourteenth Dalai Lama Series,https://github.com/OpenPecha-Data/I2141BAE0
I110E23B2,es,Fourteenth Dalai Lama Series,https://github.com/OpenPecha-Data/I110E23B2
I3EE0DAE3,fr,Fourteenth Dalai Lama Series,https://github.com/OpenPecha-Data/I3EE0DAE3
IDE8D3B45,it,Fourteenth Dalai Lama Series,https://github.com/OpenPecha-Data/IDE8D3B45
I0EA8FEA0,nl,Fourteenth Dalai Lama Series,https://github.com/OpenPecha-Data/I0EA8FEA0
IA0F524AD,bo,Fourteenth Dalai Lama Series,https://github.com/OpenPecha-Data/IA0F524AD
I9088DA5C,en,Fourteenth Karmapa Series,https://github.com/OpenPecha-Data/I9088DA5C
I939744EB,bo,Fourteenth Karmapa Series,https://github.com/OpenPecha-Data/I939744EB
ICCAF4ED0,en,Fourth Dodrupchen Rinpoche Series,https://github.com/OpenPecha-Data/ICCAF4ED0
I3C99349A,de,Fourth Dodrupchen Rinpoche Series,https://github.com/OpenPecha-Data/I3C99349A
